"rank","station_id","station_name","expansion_scope","minimal_interchanges","transport_summary","reachable_destinations","mode_groups","fare_equivalence_verified","cycle_source","cycle_minutes_exact","cycle_distance_km","tfl_cycle_minutes","tfl_cycle_distance_km","review_flag","direct_destinations","direct_lines","containing_circles","independent_route_url","google_maps_url","apple_maps_url"
1,"HUBWWA","Woolwich Arsenal","at-most-one-change-faster-than-brockley",1,"DLR to Stratford, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",18.17,4.25,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.490009%2C0.069127","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.490009%2C0.069127&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.490009%2C0.069127"
2,"910GWOLWXR","Woolwich","original-direct-circle",0,"Elizabeth line direct to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",19.74,4.4,14,4.4,"speed-model-difference","Liverpool Street","Elizabeth line","Shoreditch High Street+Liverpool Street","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.492168%2C0.070593","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.492168%2C0.070593&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.492168%2C0.070593"
3,"HUBABW","Abbey Wood","at-most-one-change-faster-than-brockley",0,"Elizabeth line direct to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",20.78,4.67,,,"one-change-expansion-independent-only","Liverpool Street","Elizabeth line","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.491284%2C0.121087","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.491284%2C0.121087&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.491284%2C0.121087"
4,"HUBLEW","Lewisham","at-most-one-change-faster-than-brockley",1,"DLR to Canary Wharf, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",37.11,8.57,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.464665%2C-0.012874","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.464665%2C-0.012874&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.464665%2C-0.012874"
5,"940GZZDLELV","Elverson Road","at-most-one-change-faster-than-brockley",1,"DLR to Canary Wharf, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",37.63,8.81,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.469074%2C-0.016728","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.469074%2C-0.016728&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.469074%2C-0.016728"
6,"940GZZDLKGV","King George V","at-most-one-change-faster-than-brockley",1,"DLR to Stratford, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",37.67,6.27,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.502003%2C0.062624","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.502003%2C0.062624&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.502003%2C0.062624"
7,"HUBCUT","Cutty Sark (for Maritime Greenwich)","at-most-one-change-faster-than-brockley",1,"DLR to Canary Wharf, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",39.45,8.62,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.481671%2C-0.01081","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.481671%2C-0.01081&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.481671%2C-0.01081"
8,"HUBLCY","London City Airport","at-most-one-change-faster-than-brockley",1,"DLR to Stratford, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",39.76,6.99,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.503416%2C0.048739","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.503416%2C0.048739&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.503416%2C0.048739"
9,"HUBGNW","Greenwich","at-most-one-change-faster-than-brockley",1,"DLR to Canary Wharf, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",40.02,8.71,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.478087%2C-0.013673","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.478087%2C-0.013673&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.478087%2C-0.013673"
10,"940GZZDLGAL","Gallions Reach","at-most-one-change-faster-than-brockley",1,"DLR to Custom House (for ExCel), then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",42.63,7.42,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.508941%2C0.071555","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.508941%2C0.071555&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.508941%2C0.071555"
11,"940GZZDLPDK","Pontoon Dock","at-most-one-change-faster-than-brockley",1,"DLR to Stratford, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",43.78,7.98,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.502212%2C0.032115","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.502212%2C0.032115&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.502212%2C0.032115"
12,"940GZZDLCYP","Cyprus","at-most-one-change-faster-than-brockley",1,"DLR to Custom House (for ExCel), then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",43.85,7.78,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.508473%2C0.063925","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.508473%2C0.063925&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.508473%2C0.063925"
13,"HUBNGW","North Greenwich","at-most-one-change-faster-than-brockley",1,"Jubilee to Canary Wharf, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",43.91,9.24,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.50047%2C0.004287","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.50047%2C0.004287&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.50047%2C0.004287"
14,"940GZZDLDEP","Deptford Bridge","at-most-one-change-faster-than-brockley",1,"DLR to Canary Wharf, then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",43.95,9.69,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.474215%2C-0.022438","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.474215%2C-0.022438&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.474215%2C-0.022438"
15,"940GZZDLPRE","Prince Regent","at-most-one-change-faster-than-brockley",1,"DLR to Custom House (for ExCel), then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",46.2,8.51,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.509263%2C0.034158","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.509263%2C0.034158&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.509263%2C0.034158"
16,"940GZZDLRAL","Royal Albert","at-most-one-change-faster-than-brockley",1,"DLR to Custom House (for ExCel), then Elizabeth line to Liverpool Street","Liverpool Street+Shoreditch High Street","TfL PAYG rail",false,"OpenStreetMap.de bicycle router",46.8,8.59,,,"one-change-expansion-independent-only","","","","https://www.openstreetmap.org/directions?engine=fossgis_osrm_bike&route=51.465997%2C0.090441%3B51.508357%2C0.045935","https://www.google.com/maps/dir/?api=1&origin=51.465997%2C0.090441&destination=51.508357%2C0.045935&travelmode=bicycling","https://maps.apple.com/?saddr=51.465997%2C0.090441&daddr=51.508357%2C0.045935"
